epoch,train_loss,val_loss,test_loss,val_f1_macro,test_f1_macro,val_f1_micro,test_f1_micro,val_pearson,test_pearson
1.0,0.7311923996157009,0.6104637980461121,0.5845266580581665,0.5172051079723152,0.5266365133179082,0.750354609929078,0.7568141592920354,0.6774403883963599,0.6923598716435614
2.0,0.536864245951417,0.5897089242935181,0.5744913220405579,0.5766430338367294,0.5582672062377931,0.7581560283687944,0.7532743362831859,0.729728795831696,0.7292264893112622
3.0,0.42759797254554655,0.5787607431411743,0.5815240740776062,0.5704402534737418,0.5653234849098916,0.7728723404255319,0.7713274336283186,0.7416583337758363,0.7373000458136436
4.0,0.3417552376565663,0.6015275120735168,0.6060078144073486,0.5769090641463526,0.5873961451550527,0.7755319148936171,0.7769911504424779,0.7561074939128866,0.7610045622293711
5.0,0.27459213318612413,0.6437844634056091,0.6569430828094482,0.5898221927540473,0.6043139077629169,0.7696808510638298,0.7716814159292036,0.7574967185889531,0.7644982207562842
6.0,0.21955232195526,0.684873640537262,0.7168401479721069,0.5984328102230967,0.5888627070343875,0.7663120567375886,0.7638938053097345,0.7609784628088913,0.7610807302530965
7.0,0.17583896467077587,0.7248454093933105,0.7318219542503357,0.5973743265905718,0.5891681815513772,0.7721631205673759,0.768141592920354,0.7581288764953429,0.7587508588129034
8.0,0.14295094602021127,0.7489362359046936,0.7599098682403564,0.5999238557894732,0.5977832542710259,0.7718085106382979,0.7766371681415929,0.7604595860896618,0.7703637316115822
9.0,0.11911282558672824,0.7683467864990234,0.7896567583084106,0.601992004152851,0.5933226957559106,0.774822695035461,0.7755752212389381,0.7651919425911181,0.7739792821535797
10.0,0.09916798209371837,0.7784097194671631,0.8000151515007019,0.6029370095803642,0.5907659612879352,0.773936170212766,0.7709734513274337,0.7669873135460875,0.7686448285875942

CLASSWISE FINAL COMBINED RESULTS
class,precision,recall,f1_score,support
0_absent,0.8840155945419104,0.9212798374809548,0.9022631186272072,1969.0
1_low,0.4887525562372188,0.4723320158102767,0.48040201005025124,506.0
2_medium,0.49765258215962443,0.42231075697211157,0.45689655172413796,251.0
3_high,0.6056338028169014,0.43434343434343436,0.5058823529411764,99.0
