epoch,train_loss,eval_loss,pearson_mean,pearson_anger,pearson_fear,pearson_joy,pearson_sadness,pearson_surprise
1,0.59642770126281,0.5917755961418152,0.03460877723991871,-0.004551396705210209,0.03932705894112587,0.06563182920217514,0.0007527312263846397,0.0718836635351181
2,0.5893998860347609,0.5891640782356262,0.014167324174195528,-0.01047613937407732,0.05863037705421448,0.04226687550544739,-0.023199763149023056,0.003615270834416151
3,0.5861622428121837,0.5927284359931946,0.045097872614860535,-0.01344502717256546,0.04519903287291527,0.06765449792146683,0.023406144231557846,0.10267471522092819
4,0.585926750893535,0.5808014273643494,0.0399029903113842,0.002144383266568184,0.04627895727753639,0.07008114457130432,0.02405002899467945,0.05696043744683266
5,0.5843826479274734,0.5843099355697632,0.015107943117618561,0.008562254719436169,0.05195127800107002,0.060344163328409195,-0.014345928095281124,-0.030972052365541458
6,0.5844270652122343,0.584938108921051,-0.010095950635150074,-0.0037437400314956903,-0.09518899023532867,0.047910917550325394,0.07257726043462753,-0.07203520089387894
7,0.5832877217034097,0.58246248960495,0.01051944624632597,-0.008686511777341366,0.026854943484067917,0.04434024915099144,0.019474975764751434,-0.029386425390839577
8,0.5826378331975899,0.583380937576294,0.01980205476284027,0.04279886186122894,0.037956155836582184,0.030325142666697502,0.010531492531299591,-0.022601379081606865
9,0.5820350183649101,0.5818216800689697,0.011433518677949905,0.025528082624077797,0.05275531858205795,0.018215473741292953,-0.010525794699788094,-0.028805486857891083
10,0.5819812728325847,0.5817164778709412,0.0010747074615210296,-0.016734957695007324,0.017623236402869225,0.06151146814227104,0.0017275528516620398,-0.058753762394189835
11,0.5817543678438133,0.5806528925895691,0.004581371380481869,0.004159396979957819,-0.03050202503800392,0.048081930726766586,-0.0004727704799734056,0.0016403247136622667
12,0.581399276671622,0.5804381966590881,-0.005120480433106422,0.011191101744771004,-0.014023825526237488,0.08934856951236725,-0.07337452471256256,-0.038743723183870316
13,0.5809951967555984,0.579943835735321,0.015633512916974724,0.021141652017831802,0.02063637226819992,0.014261147938668728,0.02103816531598568,0.0010902270441874862
14,0.5815320343141132,0.5806137919425964,0.023829980567097665,0.03289349377155304,-0.04476732015609741,0.08987265080213547,-0.022867565974593163,0.06401864439249039
15,0.5802911920586096,0.580729067325592,0.005912604928016663,-0.006226723548024893,0.012163916602730751,0.014262192882597446,0.00722729554399848,0.0021363431587815285
16,0.5812857932889992,0.5864226222038269,-0.014648082852363586,-0.025692086666822433,-0.06161103770136833,0.11012633144855499,-0.09104681015014648,-0.005016811192035675
17,0.5810290502633161,0.5802229046821594,-0.015536157786846161,0.009779538959264755,-0.0195640679448843,0.0,-0.023589765653014183,-0.044306494295597076
18,0.5812205573325215,0.5787565112113953,0.012679833639413118,0.021294567734003067,-0.013064405880868435,0.07185841351747513,-0.020288968458771706,0.003599561285227537
19,0.5810510426880378,0.5818915367126465,-0.00494542060769163,-0.039050761610269547,0.0,-0.014610683545470238,-0.00046193107846193016,0.02939627319574356
20,0.5803820034752973,0.5798205733299255,-0.010373155772686004,-0.007928645238280296,0.0014673080295324326,0.015022382140159607,-0.11149180680513382,0.05106498301029205
21,0.5802841495405807,0.579478919506073,-0.009415706060826779,-0.029477203264832497,0.0,-0.01167325209826231,0.003069370985031128,-0.008997445926070213
22,0.5800678701053265,0.5800914168357849,-0.0014196823351085186,-0.044108521193265915,0.014858836308121681,-0.026199478656053543,0.002398983109742403,0.04595176875591278
23,0.5806394260421939,0.5814579129219055,-0.007668141694739461,0.0021055841352790594,0.0,0.0,0.0,-0.040446292608976364
24,0.580529958130377,0.57942795753479,-0.003651271003764123,0.01958516426384449,-0.0007326742052100599,0.0,-0.027368556708097458,-0.009740288369357586
25,0.5805057417525936,0.579067051410675,0.00397946648299694,-0.004796165972948074,0.0,0.017410870641469955,0.0,0.007282627746462822
