epoch,train_loss,eval_loss,f1_macro,pearson
1.0,0.7215097404201987,0.6271120309829712,0.5094312893644157,0.6652525633298221
2.0,0.5351732385303327,0.5753030180931091,0.5597151490560333,0.7222366955135963
3.0,0.4239490524477322,0.5808959603309631,0.579092238626217,0.7448667408507537
4.0,0.3456202209719762,0.577706515789032,0.5901651860810202,0.7619867810389627
5.0,0.2895790130985893,0.5844597816467285,0.6023103400878781,0.7637267454303859
1.0,0.7292064713080403,0.607029378414154,0.531258272019606,0.6813164849784409
2.0,0.5388238574811804,0.5971989035606384,0.5573955446053447,0.7159136315229715
3.0,0.42203138714377214,0.5796164870262146,0.574408818960649,0.7421888027776993
4.0,0.33829529179252593,0.5964975357055664,0.5856791685517504,0.7621039761833218
5.0,0.26701744172254555,0.6416985392570496,0.5950859789871218,0.7633511686392691
6.0,0.21049270938765183,0.688490092754364,0.5961555930941057,0.7621117382178697
7.0,0.1662840901116128,0.7040963768959045,0.5996598231303548,0.7707488270905368
8.0,0.13206389268882845,0.7375479340553284,0.6017802697196826,0.7664140481653606
9.0,0.10690092171734644,0.7587934732437134,0.6012120611491419,0.7724057380556414
10.0,0.08955872107131278,0.769410252571106,0.606717331157183,0.7731935058620002
Batch size training: 8, validation: 4, learning rate: 2e-5, epochs: 10
