epoch,train_loss,eval_loss,accuracy,pearson_anger,pearson_fear,pearson_joy,pearson_sadness,pearson_surprise
1,0.5965537870461158,0.5917254090309143,0.04897971088066697,0.0030412268824875355,0.05485417693853378,0.06926751881837845,0.008082151412963867,0.10965348035097122
2,0.5890382465563322,0.5937542915344238,0.03918629502877593,0.006597587373107672,0.05099770426750183,0.062414851039648056,0.01901617832481861,0.05690515413880348
3,0.5870462023777517,0.5908202528953552,0.03635308393277228,0.0031591637525707483,0.05195173621177673,0.06440123915672302,-0.002034769393503666,0.06428804993629456
4,0.5849180646270875,0.582373857498169,-0.010074721090495587,-0.034165140241384506,-0.034354522824287415,0.011866381391882896,0.017158987000584602,-0.01087931077927351
5,0.5846343252822938,0.5818912386894226,0.008773139491677285,-0.01662377454340458,-0.018775219097733498,0.025203490629792213,0.03690766915678978,0.017153531312942505
6,0.5844309571300924,0.5818976163864136,0.007379299495369196,-0.007606624159961939,0.05432995781302452,-0.0070837391540408134,-0.026734402403235435,0.023991305381059647
7,0.5828530624327872,0.5869031548500061,0.008432554360479117,-0.003353158477693796,0.036201782524585724,0.0,-0.015864402055740356,0.02517854981124401
8,0.5832929727036943,0.5833202004432678,0.00017482213443145155,0.0008741106721572578,0.0,0.0,0.0,0.0
9,0.5817378735252721,0.5813816785812378,0.009085005801171064,-0.003840493503957987,-0.021496975794434547,0.0206455010920763,0.050116997212171555,0.0
10,0.5825318865447875,0.5803133249282837,-0.0035630283411592243,0.01695369742810726,-0.0037780299317091703,-0.021282725036144257,0.0,-0.009708084166049957
11,0.5833553051658971,0.5797788500785828,-0.007530570775270462,-0.03037433698773384,0.0,-0.025157690048217773,0.017879173159599304,0.0
12,0.5819536587487348,0.5794100165367126,-0.002407381031662226,-0.0034176758490502834,0.04011620953679085,-0.013330931775271893,-0.05041974037885666,0.015015233308076859
13,0.5817706150564588,0.5798014998435974,0.008013650588691235,0.009779536165297031,0.0,0.0,0.03028871677815914,0.0
14,0.5813586895282452,0.5824998617172241,0.0014600768685340882,0.01692013442516327,-0.009619750082492828,0.0,0.0,0.0
15,0.5816647301801303,0.5837110280990601,-0.020067817997187376,0.011431991122663021,-0.0012701605446636677,0.0,-0.031012732535600662,-0.07948818802833557
16,0.5812883261244307,0.5858067870140076,0.0011616960167884828,0.0,-0.018973954021930695,0.025328923016786575,0.030995137989521027,-0.031541626900434494
17,0.5814058249778593,0.580920934677124,-0.014611316565424203,-0.08806975930929184,0.0,0.0,0.010816903784871101,0.004196272697299719
18,0.5815944903292637,0.5790613293647766,0.014697465859353543,0.031363364309072495,-0.014222254045307636,0.0,0.0,0.05634621903300285
19,0.5810078609327556,0.5826753973960876,0.008099524490535259,0.0,0.0,0.0,0.046504124999046326,-0.0060065025463700294
20,0.5807252953409666,0.5811150074005127,-0.007006031461060047,0.0,-0.02290470339357853,0.0,0.0,-0.012125453911721706
21,0.5807222682937436,0.579068124294281,0.0007029563188552856,0.018679864704608917,0.0,0.0,-0.015165083110332489,0.0
22,0.5804931393519104,0.5804051160812378,0.0034495607018470765,0.0,0.02990398369729519,-0.02961307391524315,0.0,0.016956893727183342
23,0.5804046136647584,0.5794035196304321,0.0030979167437180876,0.0,-0.0014673118712380528,0.0,0.0,0.01695689558982849
24,0.5810055752032199,0.5793099403381348,-0.002693849056959152,-0.08328334987163544,0.0,0.0584733821451664,0.042059045284986496,-0.030718322843313217
25,0.5804134477005314,0.5798003673553467,-0.017341916635632514,-0.011500852182507515,0.0,0.0,0.0,-0.07520873099565506
26,0.580472876668459,0.5837827920913696,-0.0037059104070067406,-0.01564336009323597,-0.01970284804701805,0.0,0.029644213616847992,-0.012827557511627674
27,0.5795997897623039,0.5829440355300903,-0.002304798737168312,0.0,0.0,0.0,-0.01152399368584156,0.0
28,0.5802772923519737,0.5816707015037537,0.009919523540884257,0.036882199347019196,0.0302828811109066,0.0043082949705421925,0.0,-0.021875757724046707
29,0.5799359155569964,0.5854291319847107,0.010723096877336502,0.03555465117096901,0.0,0.0180608332157135,0.0,0.0
30,0.5793127762643915,0.5802140235900879,-0.00644546989351511,-0.01695370115339756,0.0,0.02576989307999611,-0.007116950117051601,-0.0339265912771225
31,0.5798759306008033,0.5810446739196777,-0.007604408776387572,-0.0033991511445492506,0.0,0.01875229924917221,0.0,-0.05337519198656082
32,0.5801432374035299,0.580308735370636,-0.006013553030788899,0.0,0.0,-0.015996061265468597,0.0,-0.014071703888475895
33,0.579819219797729,0.5809596180915833,-0.0025960962288081647,-0.019585158675909042,0.0,0.0,0.006604677531868219,0.0
34,0.5792199262240638,0.580734372138977,-0.009556093066930772,0.0,0.0,0.0,-0.047780465334653854,0.0
35,0.5797490417233363,0.5808485150337219,-0.010582165420055389,0.0,0.0,-0.004265759140253067,-0.04864506796002388,0.0
36,0.5801438551682693,0.5804179310798645,0.001726588048040867,0.014668737538158894,-0.026869026944041252,0.0,0.020833229646086693,0.0
37,0.5793730083264803,0.5813040733337402,-0.0020045064389705657,0.0,0.0,0.010981203988194466,0.0,-0.021003736183047295
