epoch,train_loss,eval_loss,f1_macro,f1_micro,pearson_mean
1.0,0.30904657155396004,0.26671651005744934,0.003149508951683318,0.005672149744753261,0.3044936299324036
2.0,0.2503195851437959,0.2446790635585785,0.13929204589869423,0.17535545023696683,0.40935074388980863
3.0,0.21401270198435918,0.2356061488389969,0.18695081318230258,0.25075659316904453,0.4436633865038554
4.0,0.18566928508310665,0.23014134168624878,0.2844793109064676,0.3940443213296399,0.4640623946984609
5.0,0.15841404532614026,0.2344459891319275,0.32419792690258,0.4155844155844156,0.4683956821759542
6.0,0.136259997904542,0.24402320384979248,0.3680604251130678,0.45143212951432127,0.46908212701479596
7.0,0.11911078696308831,0.25051310658454895,0.3661220573070088,0.45264145045326665,0.4646078666051229
8.0,0.1034341649970545,0.2545353174209595,0.37710861858689165,0.4426649583600256,0.4582793672879537
9.0,0.09182200258077397,0.2636389136314392,0.39620989002794105,0.46015503875968994,0.4588768561681112
10.0,0.08554789122299626,0.26553624868392944,0.3871181214505021,0.4579870729455217,0.4612305005391439
10.0,0.08554789122299626,0.2662332355976105,0.38191358881683063,0.45375,0.4294302592674891
TEST,,,,,
TEST,,0.2662332355976105,0.38191358881683063,0.45375,0.4294302592674891
