epoch,train_loss,eval_loss,f1_macro,f1_micro
1.0,0.46540156067141636,0.3671909272670746,0.6420428793127109,0.7211940298507463
2.0,0.3257959960443288,0.3528035879135132,0.7127923054650557,0.7527632344386271
3.0,0.23894661351254112,0.3539382815361023,0.7146747174168242,0.7503856834310398
4.0,0.18083646519464036,0.343808114528656,0.7491634581838269,0.7791907514450868
5.0,0.1413826112322479,0.3510894477367401,0.7474434844761083,0.7796119316536345
1.0,0.45128928118871775,0.3686562180519104,0.6547881924440553,0.7323615160349854
2.0,0.3162126116424437,0.35027042031288147,0.7044053809556252,0.7552127963439017
3.0,0.2334973725230105,0.3569398522377014,0.7238078371750583,0.7587244283995187
4.0,0.16914242578421526,0.35994264483451843,0.7419476818416983,0.7735849056603774
5.0,0.12293945343388236,0.4093357026576996,0.7404870389283892,0.7709465255933657
6.0,0.08696274236146255,0.4324129819869995,0.756474328540375,0.7777459133926011
7.0,0.06207949912499802,0.456847608089447,0.7371364376477667,0.7747489239598279
8.0,0.042760022738684525,0.4847830832004547,0.7352173803492048,0.7697215777262181
9.0,0.03214164301451401,0.5043264031410217,0.7438834533761067,0.7747539085118703
10.0,0.02612820134954414,0.5065731406211853,0.7420782699369812,0.7752613240418118
Batch size training: 8, validation: 4, learning rate: 2e-5, epochs: 10
