epoch,train_loss,val_loss,test_loss,val_f1_macro,test_f1_macro,val_f1_micro,test_f1_micro,val_pearson,test_pearson
1.0,0.4845411169384173,0.377954363822937,0.3831058740615845,0.6146993754879471,0.6330925006342942,0.7091180866965621,0.7214885954381752,0.6340793490409851,0.6180898666381835
2.0,0.3458828945391574,0.3723999261856079,0.3707275986671448,0.7004992109302098,0.6880934927982506,0.7394007914075749,0.7374364765669114,0.6569274187088012,0.6460652589797974
3.0,0.261059193476009,0.3673047125339508,0.37873876094818115,0.7031588589431846,0.6983257570907423,0.7484885126964933,0.7438725490196079,0.6692169189453125,0.6388596296310425
4.0,0.19328138220165422,0.38236984610557556,0.39887526631355286,0.7322087594646833,0.7053749012071264,0.7592920353982301,0.7417218543046358,0.672860038280487,0.6419269323349
5.0,0.1406957649508951,0.41845351457595825,0.44235488772392273,0.7331487318334079,0.7066437770847595,0.7653409090909091,0.7514253135689852,0.6656176567077636,0.6322138667106628
6.0,0.09913578110667857,0.4425676465034485,0.4617607295513153,0.7471369641536281,0.7214814239016327,0.7696174253001955,0.7602739726027398,0.6679784059524536,0.6417812943458557
7.0,0.0732209750032618,0.4750957190990448,0.48950719833374023,0.7318759725476353,0.7142226410608103,0.7639680729760547,0.7607433217189314,0.6606216192245483,0.6411146521568298
8.0,0.0508653663913248,0.502831220626831,0.511614203453064,0.7330823759623073,0.7171562424672298,0.7672706681766704,0.7625649913344887,0.6559763193130493,0.638210928440094
9.0,0.03887270336691667,0.5131475925445557,0.5286262631416321,0.7362197712146055,0.7130132692357248,0.7663389242336611,0.7608440797186401,0.6565122604370117,0.633816397190094
10.0,0.031146584252114237,0.5191465616226196,0.5360046029090881,0.7418134928060163,0.7125447625943369,0.7674013921113689,0.7567886658795749,0.6605031967163086,0.6325934410095215
10.0,0.031146584252114237,0.0,0.4618426561355591,0.0,0.7227215607753756,0.0,0.7607081667618504,0.0,0.642016613483429

CLASSWISE RESULTS
class,precision,recall,f1_score,support
anger,0.5689655172413793,0.55,0.559322033898305,60.0
fear,0.7696629213483146,0.8896103896103896,0.8253012048192772,308.0
joy,0.7397260273972602,0.8059701492537313,0.7714285714285715,134.0
sadness,0.7678571428571429,0.7413793103448276,0.7543859649122807,174.0
surprise,0.7305389221556886,0.6777777777777778,0.7031700288184438,180.0
